1	10	0.001
1	100	0.001
1	1000	0.006
1	10000	0.343
1	100000	36.595
1	200000	147.667
1	300000	339.183
1	400000	597.466
1	500000	933.485
1	600000	1316.68
1	700000	1847.69
1	800000	2432.25
1	900000	3054.92
1	1000000	3721.69
2	10	0.002
2	100	0.001
2	1000	0.004
2	10000	0.132
2	100000	12.475
2	200000	49.923
2	300000	111.852
2	400000	199.047
2	500000	310.263
2	600000	447.009
2	700000	609.289
2	800000	796.572
2	900000	1006.8
2	1000000	1244.93
3	10	0.001
3	100	0.001
3	1000	0.003
3	10000	0.027
3	100000	0.242
3	200000	0.523
3	300000	0.772
3	400000	1.03
3	500000	1.316
3	600000	1.569
3	700000	1.839
3	800000	2.121
3	900000	2.385
3	1000000	2.715
4	10	0.001
4	100	0.002
4	1000	0.004
4	10000	0.021
4	100000	1.154
4	200000	3.657
4	300000	3.972
4	400000	16.167
4	500000	16.417
4	600000	37.014
4	700000	35.664
4	800000	16.873
4	900000	50.194
4	1000000	45.289
