Keyword, LabeledPairs, LabeledProducts, FoundProducts, FoundPairs, TrainingPairs, TestPairs, photos, soldCount, feedbackPercentage, memberSoldCount, memberSegment, subtitleFlag, brandNew, freeCargo, dailyOffer, windowOptionFlag, price, productCount, TrainingAccuracy, TestAccuracy
kol_saati, 36570, 557, 543, 35682, 32170, 3512, 0.82803292594504452, 0.5261043794968393, -0.38612099923656951, 0.29919836360936292, 0.55949285163507068, 0.29502746138116381, 0.056910655532891256, -0.077925785052498892, -0.53063787670783447, 0.1738905646950577, -0.014313295035444984, -0.16856911077517117, 79.88498601181225, 79.84054669703872
iphone_7_kilif, 96152, 2252, 2208, 95120, 85536, 9584, -0.31082373797284774, -0.46880383482755417, 0.12950187955846923, 0.13949021713574788, 0.63951928478783748, -0.21923470477189669, 0.055729432800593795, 0.075165310461486057, -0.76147280665153683, 0.34629095731645776, -0.45126643685452406, -0.039101296717252598, 70.04419191919192, 69.77253756260434
stres_carki, 115024, 1551, 1465, 113018, 101747, 11271, 0.2101935007656606, -0.29934805429968109, -0.87896764174646336, 0.21301784803189297, 0.59822698398003071, -0.25911203044780506, 0.092572639676045343, -0.16470406585858932, -0.61205428623872093, -0.029054632066579905, -0.0089938007996757524, -0.10362861773997914, 67.17053082646171, 66.6134327033981
nike_air_max, 51568, 1093, 1003, 43900, 39502, 4398, -0.16252058609612538, 0.20947772796765196, -0.064887695598176892, -0.36918424685543211, 0.26331228843291488, -0.2894538056098131, 0.050791256639152023, -0.0090985149669891366, -0.85116084558192018, -0.14091473186256093, -0.3833930184048091, -0.26843859879439957, 69.5458457799605, 70.07730786721237
tupperware, 127702, 3248, 2781, 115982, 104604, 11378, -0.274870103950352, -0.044871583517920692, -0.14198926895632444, -0.18981607945173112, 0.41192505780294247, -0.32611457446569514, 0.045517825389458928, -0.29656301518524936, 0.0, -0.27651106562867783, -0.27365609174036437, -0.092674376252128862, 62.37811173568888, 62.664791703287044
buzdolabi, 160232, 1126, 1073, 157518, 141582, 15936, -0.31190706957374736, 0.6466959384231411, -0.22374213429365225, 0.095399446837366619, 0.021814699983046328, -0.076075489538541638, -0.078767816862430534, -0.14529719329519111, -0.1483660626707545, 0.64074267278687858, -0.58588969276968184, -0.11982744113355248, 79.47549829780621, 79.1039156626506
vestel_camasir_makinesi, 15608, 61, 60, 14988, 13467, 1521, 0.46312566189083698, 0.59670266268671979, 0.20287427008055761, 0.061864612195717213, -0.29921687219673054, -0.17264827405399219, 0.0, 0.0, -0.4505475385415777, -0.13222913186843221, 1.3352798901292346, 0.55285805047522807, 86.84190985371649, 86.32478632478633
samsung_galaxy_j7_prime, 49934, 135, 127, 45126, 40586, 4540, 0.52236533258743945, 0.99154529663002366, 0.2858579147551078, -0.39617911779981951, -0.10901324895454537, 0.62357519562304697, -0.17989124121645372, 1.1848824654627168, -0.36184074679847383, -0.068830882621094894, -0.71755855602479068, 0.25536117675546011, 78.80549943330212, 79.29515418502203
samsung, 229188, 634, 565, 214834, 193474, 21360, 0.19103559378261437, 0.53213819714354182, -0.60055936025483103, -0.55493621782314717, 0.24749083365053001, 0.83225288190884372, 0.24400216782023684, -0.119951876153783, -0.19984199679321998, -0.50385275669448781, -0.23775335916091972, 0.63492282685714974, 77.3959291687772, 77.71067415730337
dikey_elektrikli_supurge, 38616, 194, 184, 38088, 34394, 3694, -0.31459380216692923, 0.64505282996154867, 0.081749131836838823, 0.18366378386314172, 0.0090016706388330956, -0.32456613674977702, -0.39487785205878362, 0.43764478719580757, -0.22889381686262075, -0.048349686303872132, -1.3184343638497262, -0.3733911462618964, 75.64691515962086, 74.39090416892257
jbl_hoparlor, 5206, 209, 206, 5102, 4043, 1059, -0.21795330727257525, 0.47277090427274693, 0.040057729897223282, -0.6984614012220699, 0.75230177906728535, -0.12535528797246021, 0.0, -0.15568806047317568, -0.4326185807060417, -0.064666221040969155, -0.37634689783167802, 0.0022147060733024374, 80.2127133316844, 78.84796978281398
bisiklet, 319370, 2531, 2424, 317722, 286124, 31598, -0.35858298010607287, 0.72512540440897633, -0.099053631902014494, 0.032684467579679383, 0.055650965033202195, -0.28659408038862155, -0.026469294612323925, -0.0021033540296926888, 0.38600158180594318, 0.088944049562453595, -0.88514587709673487, 0.01405476347709469, 76.71009771986971, 76.72953984429394
lenovo_k6_note, 21342, 333, 326, 19248, 17254, 1994, -0.26856017279280847, -0.043092340375738052, -0.059257866486749272, 1.1027409644137971, -0.22842712874601223, 0.23836166255163768, 0.17895315371248158, 0.66798486854568351, -0.070519071339959549, 0.1053652331276483, -0.55484164117742496, 0.33126034535645249, 77.41972875854874, 78.28485456369107
sandalye_kilifi, 89110, 682, 599, 66076, 59457, 6619, -0.41796756393465467, 0.14121122616626389, 0.60887552345503038, 0.42646364599174641, 0.49754873522944615, 0.20673890979317125, 0.0042206289367301359, -0.10481209339986519, -1.1209835121673286, 0.23334271228266798, 0.020173239319418858, 0.18280774693771484, 75.47134904216493, 76.37105302915849
xiaomi, 99594, 563, 531, 94252, 84652, 9600, -0.33630107012956562, 0.34491626109165185, 0.19469055405234822, -0.031845927689436539, -0.12159674691088017, 0.10132352903422903, -0.00043104620183315829, -0.02483420615595865, -0.80179588390404011, -0.29132542538546746, 0.59147967040279525, 0.67146900453126823, 73.36388980768322, 72.57291666666667
samsung_galaxy_s6, 3446, 59, 48, 2906, 2333, 573, 0.62242738767486672, 0.012086032240566041, 0.17000887808775142, -1.9321645277818487, -0.22239507186084659, 0.0047395600676202604, -1.1079167153689782, -0.12983405067046733, 0.0, 0.44827877591351784, 0.2646456850915363, 0.31262231661171314, 88.72696099442777, 89.17975567190227
kirmizi_converse, 990, 61, 60, 988, 769, 219, 0.74584403938487953, 0.36920555880956346, -0.88104680714579953, 0.059182692036033595, -0.13192425375081968, -0.78170509042884151, 0.24805043367088642, -0.51759263403281364, -0.37424441707203726, 0.21029924738951603, -0.63330389762809836, 0.71841501356004955, 98.8296488946684, 98.17351598173516
kiz_cocuk_abiye_elbise, 254170, 406, 392, 248436, 223412, 25024, -0.057106352233333345, 0.56103752683795693, -0.27056370629918969, 0.27529657775076238, 0.071021004238751156, -0.13189297167460753, 0.010698793137162693, -0.28052983522299518, -1.0754776169644147, 0.52710364735630988, 0.21812212325903191, 0.067610078533219625, 79.25581436986376, 78.91224424552429
avon_kadin_parfum, 6976, 65, 64, 6936, 5556, 1380, -0.606941266239855, 1.1159488503040513, -0.59305409035399026, -0.77064665626019591, 0.054515925007925556, 0.0, 0.0, 0.0, -0.054515925007925556, -0.59656429957341195, 0.0354336441785605, 0.0496106278383142, 93.3405327573794, 94.05797101449275
